sentences,labels
The elephant was as strong as a bulldozer.,1
The lion was as fierce as a raging inferno.,1
ghosts haunts you like the memory of happiness.,1
The curtains were as rich as velvet.,1
He bent upon the lightning page like rapt poet over his rhyme.,1
He bolted down the stairs like a hare.,1
He clatters like a windmill.,1
He danced like a man in a swarm of hornets.,1
The apple's skin was as tough as a suit of armor.,1
The apple's flavor was as rich as a fine wine.,1
He acted exactly like an automaton.,1
He lay as straight as a mummy.,1
He lay like a warrior taking his rest.,1
He lived as modestly as a hermit.,1
The apple was as abundant as leaves on a tree.,1
The apple was as iconic as the emblem of a tech giant.,1
The apple's flesh was as succulent as a ripe peach.,1
Sugarcane is as tall as a basketball player.,1
The air was as light as a cotton candy cloud.,1
The wind howled through the trees like a pack of wolves.,1
The jelly slid off the spoon like a slippery eel.,1
The jelly shone like a ruby in the sunlight.,1
The ham was as salty as the ocean breeze.,1
The roast beef was as succulent as a tropical fruit.,1
The ribs were as tender as a mother's love.,1
He sweeps the field of battle like a monsoon.,1
The steak was as juicy as a ripe peach.,1
He turned on me like a thunder-cloud.,1
Oil spreads like wildfire.,1
"He wandered restlessly through the house, like a prowling animal.",1
He was as serious as a reformer.,1
He was as steady as a clock.,1
The smell of oil is as pungent as a skunk.,1
He was as bold as the hawk.,1
He was weak like a shrunk cedar.,1
Oil is as valuable as gold.,1
My heart was as heavy as stone.,1
The wildfire spread like a voracious beast.,1
The flood waters rose like a relentless tide.,1
The tornado spun through the town like a giant blender.,1
Disease spreads like wildfire.,1
Her beauty is as fervent as a fiery moon.,1
Disease can strike like a thief.,1
A virus can be as elusive as a needle in a haystack.,1
The bird's wings flapped like a sail catching the wind.,1
Her dusky cheek would burn like a poppy.,1
The bird's beak was as sharp as a knife.,1
Her eyes as bright as a blazing star.,1
The bird's feathers shimmered in the sunlight like a sparkling jewel.,1
The bird's song was as sweet as honey.,1
The bird's flight was as graceful as a ballerina.,1
The clowns' antics were as silly as a barrel of monkeys.,1
The circus tent was as big as a football stadium.,1
Her face was as solemn as a mask.,1
Her face was as dull as lead.,1
The jungle was as noisy as a bustling city.,1
The jungle was as dense as a thicket of thorns.,1
The jungle was as humid as a steam room.,1
Her hair hung down like summer twilight.,1
Her hair shone like a nimbus.,1
The jungle was as wild as a stampede.,1
The wedding ceremony was as beautiful as a rose garden in full bloom.,1
The bride's dress flowed behind her like a stream of silk.,1
Her head dropped into her hands like a storm-broken flower.,1
The groom's love for his bride was as strong as a lion's roar.,1
The wedding reception was as lively as a bustling marketplace.,1
The couple's commitment to each other was as unbreakable as a diamond.,1
The windowpane was as cold as ice.,1
The sound of the wind whistling through the window was like a haunting melody.,1
The fabric of his shirt was as smooth as silk.,1
The collar of her shirt was as stiff as a board.,1
His shirt was as white as a fresh snowfall.,1
The pattern on her shirt was as bold as a lion's roar.,1
The texture of his shirt was as rough as sandpaper.,1
Her mouth was as sweet as a ripe fig.,1
The candy was as colorful as a rainbow.,1
The candy was as soft as a pillow.,1
Her pulses fluttered like a dove.,1
The candy melted in my mouth like snowflakes on a warm day.,1
The war devasted like a tornado.,1
The king's voice was deep like the rumble of thunder on a stormy night.,1
Her voice cut like a knife.,1
Her voice was mournful like bells crying on the wind.,1
The king's palace was grand like a glittering jewel.,1
Her voice was vibrant like the middle notes of a cello.,1
Her words sounded like wavelets on a summer shore.,1
The marchers in the parade streamed past like a river.,1
The crowd swarmed together like a school of fish.,1
The crowd pressed in on her like a tidal wave.,1
The shop was as crowded as a subway train.,1
Gravity pulls like a giant magnet.,1
His brow bent like a cliff over his thoughts.,1
His cheeks were furrowed like rain-washed crags.,1
His eyes blazed like deep forests.,1
His eyes glowed like blue coals.,1
Gas particles moved like a chaotic dance.,1
His face burnt like a brand.,1
His face was as glad as dawn to me.,1
Electricity flows through a circuit like water.,1
His fingers were knotted like a cord.,1
The universe expands like a balloon.,1
His fortune melted away like snow in a thaw.,1
His glorious moments were strung like pearls upon a string.,1
The reaction erupted like a volcano.,1
The battery was as empty as a desert wasteland.,1
His mind murmurs like a harp among the trees.,1
The battery was as full as a glass of water.,1
His mind was clear like a summer sky.,1
His nerves thrilled like throbbing violins.,1
The battery was as dead as a doornail.,1
The battery was as reliable as the rising sun.,1
His spirits sank like a stone.,1
Time flows like a river.,1
Time steals like a thief.,1
Time can be as elusive as a slippery eel.,1
Money destroyed like a hammer.,1
His whole soul wavered like a wind-swept leaf.,1
Money attracts like a magnet.,1
Money grows like a plant.,1
Falling asleep is as peaceful as a calm lake.,1
Sleep is as restorative as a fresh morning.,1
The company's growth was as swift as a cheetah.,1
The company's culture was as welcoming as a warm hug.,1
The wings of a butterfly are as delicate as tissue paper.,1
The buzz of a bee is as loud as a chainsaw.,1
The wings of a dragonfly are transparent like stained glass windows.,1
The antennae of a moth are as sensitive as a radio receiver.,1
The beach was as hot as a griddle in the midday sun.,1
The waves crashed against the shore like a marching band's percussion section.,1
The sand was as soft as a plush carpet beneath our feet.,1
Men were marching like a tide.,1
The seagulls circled overhead like planes preparing for landing.,1
The ocean stretched out like an endless blue carpet.,1
I was as sensitive as a barometer.,1
The car was smashed like a tin can.,1
Infection ticks like a time bomb.,1
The metal was as shiny as a mirror.,1
The metal was as hard as a rock.,1
The bedroom was as quiet as a library.,1
The air in the bedroom was as still as a pond.,1
The scent of lavender was as soothing as a gentle massage.,1
The music wrapped like a warm embrace.,1
Crime spreads like a virus.,1
Crime lurks like a shadow.,1
Her pupils were as black as the night sky.,1
Her pupils expanded like a camera lens.,1
The resort's beauty was as breathtaking as a painting.,1
The air smelled as fresh as a daisy.,1
The resort was as luxurious as a five-star hotel.,1
The beer was as satisfying as a warm embrace.,1
Her backpack was as heavy as a sack of bricks.,1
The dumbbell in his hand was as light as a feather.,1
Soap is as cleansing as a fresh stream of water.,1
The lather of soap is as fluffy as a cloud in the sky.,1
Soap is as refreshing as a cool breeze on a hot summer day.,1
The pain was as intense as a bolt of lightning.,1
The cramps in my stomach twisted like a corkscrew.,1
The bank was as secure as a fortress.,1
The bank was as organized as a filing cabinet.,1
The bank was as complicated as a Rubik's Cube.,1
The pilot was as focused as a hawk circling its prey.,1
The pilot was as calm as a seasoned sailor.,1
The pilot was as precise as a surgeon.,1
The pilot was as confidence as a lion.,1
The rhythm of the music was as steady as a heartbeat.,1
The music's rhythm was as unpredictable as a thunderstorm.,1
The sugar crystals were as delicate as snowflakes.,1
Kingdoms melt away like snow.,1
Bag was heavy like a brick.,1
My memory is as sharp as a hawk's vision.,1
The arid climate was as dry as a bone.,1
The icy winds whipped like a thousand knives.,1
The climate was as changeable as a chameleon.,1
Tears were salty like the ocean.,1
The cave was as dark as the inside of a closed box.,1
The sound echoed like a chorus of voices.,1
The cave was as damp as a sponge soaked in water.,1
The stalactites in the cave were as sharp as daggers hanging from the ceiling.,1
The cave was as quiet as a library at midnight.,1
The square was as symmetrical as a mirror's reflection.,1
The square was as flat as a pancake.,1
The square was as precise as a mathematical equation.,1
The circle spun like a hypnotist's pendulum.,1
The circle was as round as a coin.,1
The circle grew wider like ripples.,1
The circle of friends was as close-knit as a family.,1
The circle was as unbroken as a wedding band.,1
The bear lumbered like a giant.,1
The bear's fur was as black as coal.,1
The bear's roar echoed through the woods like thunder.,1
The bear's paws were as large as dinner plates.,1
The bear towered over me like a skyscraper.,1
Sweat dripped from his forehead like a leaky faucet.,1
The smell of his sweat was as pungent as a skunk's spray.,1
Sweat poured down her face like raindrops on a windowpane.,1
He is stubborn as a goat.,1
He is as surefooted as a mountain goat.,1
You are as agile as a young goat.,1
She is as independent as a goat.,1
The alarm sounded like a shrill bird.,1
The doll's porcelain skin was as smooth as a freshly polished mirror.,1
The doll's hair was as golden as a field of wheat.,1
The doll's eyes were as blue as the sky.,1
The doll's dress flowed around her like a stream.,1
The doll's limbs were as slender as a swan's limbs.,1
The wax melted like a candle in the summer sun.,1
The wax was as pliable as clay in the potter's hands.,1
The ship was as massive as a mountain.,1
The ship's deck was as slippery as ice.,1
The ship's masts swayed in the wind like the arms of a dancer.,1
The ball was as round as the sun in the sky.,1
The ball bounced on the pavement like a jackhammer.,1
The ball spun in circles like a top.,1
The dog's teeth were as sharp as a knife.,1
The new employee was as fresh as a glass of cold milk.,1
The color of the paint was as white as milk.,1
The glue was as strong as steel.,1
The slap was as loud as a thunderclap.,1
The winter landscape was as serene as a painting.,1
The wheel spun as fast as a tornado.,1
The vapor rose from the hot tea like a misty veil.,1
The vapor drifted upward like a ghostly apparition.,1
The vapor swirled around the room like a thick fog.,1
The vapor rose from the lake like a gentle steam.,1
The vapor dissipated into the air like a dream fading away.,1
The sunflower's face followed the sun like a loyal servant.,1
The sunflower's petals were soft as velvet.,1
The sunflower's stem was sturdy as an oak tree.,1
The sunflower's petals were as delicate as butterfly wings.,1
The jackfruit was as big as a watermelon.,1
The skin of the jackfruit was spiky like a medieval weapon.,1
The sweet aroma of the jackfruit wafted through the air like a tropical breeze.,1
My muscles are as strong as steel.,1
My skin is as sallow as gold.,1
The laptop screen flickered like a candle in the wind.,1
The keys on the laptop keyboard clicked like raindrops on a tin roof.,1
The laptop hummed softly like a contented cat.,1
The laptop's hard drive spun like a top.,1
The laptop fan whirred like a tiny jet engine.,1
The computer was as fast as a cheetah.,1
The hard drive was as spacious as a warehouse.,1
The keyboard was as silent as a whisper.,1
The coconut was as round as a bowling ball.,1
The sweet scent of the coconut was as intoxicating as a bouquet of flowers.,1
The hospital room was as sterile as a laboratory.,1
He stood on the podium like a champion.,1
She fought like a champion.,1
He dominated the competition like a champion.,1
Her lips were as red as a freshly picked cherry.,1
His lips were as thin as a razor blade.,1
She pursed her lips together tightly like a zipper closing.,1
His lips were as soft as velvet.,1
She licked her lips like a hungry cat.,1
Her voice was as soft as a musical note.,1
The paper smelled like a note of nostalgia.,1
His words landed like a flat note on the audience's ears.,1
Her writing flowed as smoothly as a well-composed note.,1
The feast was as plentiful as a cornucopia.,1
The table was adorned with delicacies like a painter's canvas.,1
The atmosphere was as lively as a bustling marketplace.,1
The feast was as sweet as honey.,1
The aroma of the feast wafted through the air like a warm embrace.,1
Our enemies were broken like a dam of river reeds.,1
Our hearts bowed down like violets after rain.,1
The toad's skin was as bumpy as a gravel road.,1
The toad's eyes were as shiny as polished marbles.,1
The toad's belly was as white as fresh snow.,1
The toad's croak sounded like a rusty hinge.,1
The toad hopped like a bouncing ball on the ground.,1
The kitten was as soft as a fluffy cloud.,1
"The kitten played like a ballerina, graceful and light on its paws.",1
The kitten's eyes were sparkling like emeralds in the sunlight.,1
The kitten's fur was as silky as the finest satin.,1
"The kitten purred like a tiny engine, content and happy.",1
The whale was as massive as a mountain.,1
The whale's skin was as smooth as polished glass.,1
The sound of the whale's song was as haunting as a mournful melody.,1
The whale's spout rose into the air like a towering geyser.,1
The whale's tail fin was as powerful as a battering ram.,1
The train station was bustling like a beehive.,1
The bus station was as noisy as a marketplace.,1
The airport terminal was as crowded as a shopping mall.,1
The radio station was as quiet as a mouse.,1
The gas station was as bright as day with the floodlights.,1
The bucket was as full as a pot boiling over with water.,1
The bucket handle was as sturdy as a thick tree branch.,1
The bucket was as light as a feather.,1
The bucket was as big as a bathtub.,1
The bucket was as round as a melon.,1
The crab scuttled across the sand like a tiny tank.,1
The crab's shell was as hard as a suit of armor.,1
The comb's teeth were as straight as a row of soldiers.,1
The comb glided through her hair like a skater on ice.,1
The comb's handle was as sleek as a polished stone.,1
The comb's teeth were as fine as the strings on a musical instrument.,1
Her feet were as cold as ice cubes.,1
His feet were as big as boats.,1
The athlete's feet were as quick as lightning.,1
The dancer's feet moved as gracefully as swans.,1
The runner's feet pounded the pavement like drums.,1
The curve of her smile was as smooth as a freshly paved road.,1
The curve of the mountain range was as graceful as a ballerina's arch.,1
The curve of the rollercoaster was as thrilling as a wild ride on a dragon's tail.,1
The price of that luxury car was as high as the peak of a mountain.,1
The cost of that designer handbag was as steep as a rollercoaster drop.,1
The price of that diamond ring was as hefty as a sumo wrestler.,1
The cost of that concert ticket was as expensive as a private jet.,1
The price of that rare antique was as precious as a newborn baby.,1
The cost of that extravagant meal was as extravagant as a royal feast.,1
The price of that beachfront property was as exorbitant as a king's ransom.,1
The cost of that custom-made suit was as premium as a top-of-the-line sports car.,1
The price of that vintage wine was as rich as the taste of chocolate.,1
The cost of that first-class plane ticket was as lavish as a five-star hotel suite.,1
The worm wriggled like a piece of spaghetti.,1
The worm moved slowly like molasses in winter.,1
The worm was as thin as a strand of hair.,1
The worm was as slippery as a wet bar of soap.,1
The worm curled up like a spiral staircase.,1
The worm burrowed through the soil like a drill bit.,1
The worm was as smooth as a freshly polished marble.,1
The worm was as flexible as a contortionist.,1
The worm was as soft as a marshmallow.,1
The worm was as fragile as a delicate piece of glass.,1
The ant crawled along the ground like a industrious worker.,1
The ant moved through the dirt like a skilled explorer.,1
The ant's antennae waved in the air like the delicate branches of a tree.,1
The ant's movements were as quick as a gymnast on a balance beam.,1
The ant scurried across the floor like a mouse.,1
The ant's strength was as impressive as that of a weightlifter.,1
The nest was as cozy as a warm blanket on a chilly day.,1
The bird's nest was as intricate as a spider's web.,1
The eggs in the nest were as fragile as delicate glass ornaments.,1
The twigs in the nest were woven together like a tightly-knit sweater.,1
The mother bird sat on her eggs as patiently as a statue.,1
The nest was as hidden as a secret treasure.,1
The nest was perched on the branch like a crown on a king's head.,1
The leaves around the nest rustled like a choir singing a soft lullaby.,1
The point was as sharp as a needle.,1
The point was as clear as a crystal.,1
The point was as tiny as a pinhead.,1
The point was as precise as a laser beam.,1
The point was as focused as a magnifying glass.,1
The point was as important as the tip of an iceberg.,1
The goose honked loudly like a car horn in rush hour traffic.,1
The goose's beak was as strong as a pair of pliers.,1
"The goose's wings flapped fiercely, like a helicopter.",1
The belly was as round as a pumpkin.,1
Feathers were as waterproof as a well-oiled machine.,1
The button was as round as a polished pebble.,1
The button felt as light as a feather under my finger.,1
The button was as cold as a winter's morning.,1
The button felt as hard as a stone wall beneath my thumb.,1
The button felt as tiny as a grain of sand between my fingertips.,1
The bush was as dense as a tangled web of spider silk.,1
The rustling leaves in the bush sounded like a chorus of whispers.,1
The thorny branches of the bush were as prickly as a cactus.,1
The scent of the wildflowers was as sweet as honey.,1
The bush was as expansive as a green carpet stretching out for miles.,1
The birds chirped like a lively orchestra.,1
The cabbage was as round as a basketball.,1
The leaves of the cabbage were as smooth as silk.,1
The smell of the cabbage was as pungent as a skunk.,1
The taste of the cabbage was as bitter as medicine.,1
The cabbage head was as dense as a rock.,1
The texture of the cabbage was as crunchy as a carrot.,1
The color of the cabbage was as vibrant as a lime.,1
The cabbage leaves were as floppy as wet paper.,1
The cabbage was as heavy as a bowling ball.,1
The sound of cutting cabbage was as loud as a chainsaw.,1
The tomato was as red as a firetruck.,1
The tomato was as firm as a bowling ball in my hand.,1
The tomato was as juicy as a freshly squeezed orange.,1
The tomato was as smooth as a polished stone.,1
The tomato tasted as sweet as candy.,1
The tomato was as fragrant as a bouquet of flowers.,1
The tomato looked as plump as a balloon.,1
The tomato was as shiny as a new penny.,1
The tomato was as refreshing as a cold drink on a hot day.,1
The tomato was as versatile as a Swiss Army Knife in the kitchen.,1
The grains in the sand were as small as pinheads.,1
The wheat field swayed in the breeze like a golden ocean of grain.,1
The rice grains were as white as snowflakes on a winter's day.,1
The corn kernels popped like fireworks in the hot oil.,1
The barley fields stretched out like a sea of rippling waves.,1
The grains of quinoa were as tiny as sesame seeds.,1
The oats in the bowl were as round as little planets.,1
The millet grains were as small as birdseed.,1
The grains of salt sprinkled on the popcorn were as fine as dust.,1
The sofa was as soft as a cloud.,1
The old sofa was as worn as an old pair of shoes.,1
The leather sofa was as smooth as butter.,1
The velvet sofa was as regal as a queen's throne.,1
The sofa was as cozy as a warm blanket.,1
The sofa was as inviting as a welcoming hug.,1
The sectional sofa was as versatile as a puzzle.,1
The oversized sofa was as spacious as a king-size bed.,1
The afternoon sun was as warm as a cozy blanket.,1
The quiet of the afternoon was as peaceful as a sleeping baby.,1
The birds chirping in the afternoon were as lively as a school of fish.,1
The afternoon breeze was as refreshing as a sip of cold water.,1
The shadows stretching across the ground in the afternoon were as long as a giraffe's neck.,1
The colors of the sky in the late afternoon were as beautiful as a painting.,1
The sound of distant traffic in the afternoon was as faint as a whisper.,1
The stillness of the afternoon was as tranquil as a calm lake.,1
The heat of the afternoon was as intense as a burning flame.,1
The feeling of relaxation in the afternoon was as satisfying as a full belly after a delicious meal.,1
She was as rich as a queen.,1
The mansion stood as grand as a palace.,1
The luxurious yacht floated as gracefully as a swan.,1
The flag was as bright as a summer sunset.,1
The flag fluttered in the wind like a butterfly's wings.,1
The stars on the flag shone like diamonds in the night sky.,1
The flag was as vibrant as a blooming garden in springtime.,1
The stripes on the flag were as straight as an arrow's flight path.,1
The attack was as sudden as a bolt of lightning on a clear day.,1
The throne was as imposing as a mountain.,1
The throne was as regal as a peacock.,1
The throne was as luxurious as a palace.,1
The moth's wings were as delicate as fine lace.,1
She floated toward the light like a moth drawn to a flame.,1
His antennae twitched like a moth sensing danger.,1
"The moth's wings fluttered softly, like a whisper in the night.",1
The moth's powdery wings were as light as a feather.,1
A magazine offers like a buffet.,1
The whistle sounded like a bird's chirp in the quiet forest.,1
The shrill whistle cut through the air like a knife.,1
The referee's whistle screeched like a banshee.,1
The train's whistle echoed through the valley like a mournful cry.,1
The penguin's eyes sparkled like diamonds in the sunlight.,1
It drags like a wounded snake.,1
The penguin's feathers were as smooth as a freshly polished car.,1
The army glowed in the golden sunlight like a mosaic of a hundred thousand jewels.,1
The penguin slid on its belly across the ice like a child on a slide.,1
Heart beats like a drum.,1
The beauty of her life was blooming like a rose.,1
The billows burst like cannon down the coast.,1
The birds swam the flood of air like tiny ships.,1
The boat cuts its swift way through little waves like molten gold and opal.,1
The boom of the surf grew like the thunder of a retreating storm.,1
The playground was as lively as a beehive.,1
The swings swayed back and forth like a pendulum.,1
The playground was colorful like a canvas.,1
The slide was as slippery as an eel.,1
The camp fire reddens like angry skies.,1
The chambers of the house were haunted like some dripping cavern.,1
The church swarmed like a hive.,1
The memory of her haunted him like a ghost.,1
Clouds moved like spirits over the welkin clear.,1
The clustered apples burnt like flame.,1
The old abandoned house was haunting the small town like a specter.,1
The sound of her laughter haunted him like a haunting melody.,1
The image of the car crash haunted him like a recurring nightmare.,1
The sadness in her eyes haunted him like a constant raincloud.,1
The dark hours are swept away like crumbling ashes.,1
Her hair shook round her like a sea.,1
The rising sun at dawn bursted like a golden ball of fire.,1
The dawn had whitened in the mist like a dead face bed.,1
The dawn with silver-sandaled feet crept like a frightened girl..,1
The day stunned me like light.,1
The Dawn is peaceful like a calm lake.,1
The days have trampled me like armed men.,1
The dead past flew away over the fens like a flight of wild swans.,1
The sky at dusk was as pink as a fresh rose petal.,1
The air at dusk was as still as a frozen lake.,1
The fading light of dusk filtered through the clouds like watercolors on a canvas.,1
The world at dusk was quiet like a library after closing time.,1
The poet's words flowed like a gentle stream.,1
Poem was as sweet as honey.,1
His thoughts were as deep as the ocean.,1
The water poured out of the faucet like a gentle waterfall.,1
The evening sky was as green as jade.,1
The excitement had spread through the whole house like a piquant odor.,1
The excitement of the thought buoyed his high-strung temperament like a tonic.,1
The water poured out of the faucet like a gentle waterfall.,1
The body is firm like a slope of snow.,1
The first whiff of reality dissipated them like smoke.,1
The floor gleamed in the candle-light like beaten moonbeams.,1
The faucet handle turned as easily as a doorknob.,1
The gathering glory of life shone like the dawn.,1
The sound of the dripping faucet was like a soft drumbeat.,1
The girl's voice rang like a bird-call through his rustling fancies.,1
The glimmer of tall flowers standing like pensive moon-worshipers in an ecstasy of prayerless bloom.,1
The guides sniffed like chamois.,1
The water pressure from the faucet was as strong as a fire hose.,1
The hills across the valley were purple like thunder-clouds.,1
The hoofs of the horses rang like the dumb cadence of an old saga.,1
The hours crawled by like years.,1
The hum of the camp sounds like the sea.,1
The hurrying crowds of men gather like clouds.,1
The ideas succeeded each other like a dynasty of kings.,1
New century rose like a vast empty house.,1
The faucet spout twisted like a snake as the water flowed out.,1
The tape was as sticky as honey on a hot day.,1
The adhesive on the tape was as strong as a gorilla's grip.,1
The clear tape was as transparent as a piece of glass.,1
The level boughs like bars of iron.,1
The light of London flaring like a dreary dawn.,1
The lights blazed up like day.,1
The lilies were drooping like skin of a dying man.,1
The roll of tape was as thin as a pencil.,1
The blowfish puffs up like a balloon.,1
The spines on a blowfish are as sharp as needles.,1
The monk's face whitened like sea-foam.,1
The moon drowsed between the trees like a great yellow moth.,1
The blowfish's skin is prickly like sandpaper on a rough surface.,1
The moonbeams rest like a pale spotless shroud.,1
The moonlight lay like snow.,1
The blowfish's eyes bulge out of its head like a pair of oversized marbles.,1
The dustpan was as empty as a hollow log.,1
The dustpan's handle was as long as a giraffe's neck.,1
The mountains loomed up  like phantoms through the mist.,1
The dustpan's edge was as sharp as a razor.,1
The cocoon was as snug as a warm blanket.,1
The train winding its way like a jointed reptile.,1
His sword gleamed like a beam of sunlight.,1
The knight's courage burned like a fiery flame.,1
The night yawned like a foul wind.,1
The ocean swelled like a pride.,1
The mailbox was as red as a ripe tomato.,1
The mailbox looked as empty as a desert.,1
The penalty falls like a thunderbolt from heaven.,1
The mailbox stood as tall as a soldier at attention.,1
The pine trees waved like a woman's hair.,1
The mailbox was as sturdy as a fortress wall.,1
She was beautiful like the princess.,1
The poppy burned like a crimson ember.,1
The prime of man has waxed like cedars.,1
The panda was as cuddly as a teddy bear.,1
The purple heather rolls like dumb thunder.,1
The rainbows flashed like fire.,1
The panda's fur was as black and white as a keyboard.,1
The panda's movements were as graceful as a ballerina.,1
His face was as expressive as a cartoon character's.,1
The vase was as delicate as a butterfly's wings.,1
The vase was as colorful as a bouquet of flowers.,1
The sea reeled round like a wine-vat splashing.,1
The vase was as smooth as polished glass.,1
The sea spread out like a wrinkled marble floor.,1
The taste of a lemon is as sour as vinegar.,1
The sea was as untroubled as the turquoise vault which it reflected.,1
The sun set like a word of peace.,1
The sharp hail melts on my cheeks like tears.,1
Lemon juice is as tart as a green apple.,1
The smell of freshly cut lemons is as refreshing as a cool breeze on a hot summer day.,1
The bright yellow color of a lemon is as vibrant as the sun.,1
The sky burned like a heated opal.,1
The texture of a lemon peel is as rough as sandpaper.,1
Scientists delve like explorers.,1
The air as soft as milk.,1
The aroma from the bakery was as comforting as a warm hug.,1
The cakes were as moist as a spring rain.,1
The solid air heaved like a roaring ocean.,1
The solid mountains gleamed like the unsteady sea.,1
The croissants were as buttery as a sun-kissed field.,1
The cinnamon rolls were as sweet as a childhood memory.,1
The puppet's movements were as graceful as a ballerina's.,1
The puppet's wooden limbs were as stiff as a board.,1
The puppet's strings were as delicate as spiderwebs.,1
The puppet's expressions were as animated as a cartoon character's.,1
The puppet's joints creaked like an old rusty gate.,1
The paper was as white as snow.,1
The thin paper fluttered in the breeze like a delicate butterfly.,1
The edges of the paper were as sharp as a knife.,1
The waffle was as crispy as a autumn leaf.,1
The syrup on the waffle was as sticky as a spider's web.,1
The toast was as brown as a chestnut.,1
The toast was as crispy as a potato chip.,1
The sun on the sea-wave is as white as the moon.,1
The ink stain on his shirt was as big as a pancake.,1
The antlers on the reindeer's head were as magnificent as a crown.,1
The fur on the reindeer's back was as thick as a winter coat.,1
The time glides like a dream.,1
The torrent from the hills leaped down their rocky stairways like wild steeds.,1
The sock was as soft as a fluffy cloud.,1
The contention pierced him like arrows.,1
The veiled future bowed before me like a vision of promise.,1
The sock was as smooth as a baby's bottom.,1
The sock was as thin as a sheet of paper.,1
The parachute floated down like a feather gently gliding to the ground.,1
The parachute billowed out like a giant jellyfish in the sky.,1
The parachute opened up like a blooming flower.,1
The parachute descended gracefully like a ballerina in a ballet.,1
The radish was as red as a stop sign.,1
The radish was as round as a small ball.,1
The radish tasted as sharp as a knife.,1
The radish was as crisp as fresh lettuce.,1
The radish was as spicy as a jalapeño pepper.,1
The wine flows like blood.,1
The dragon's scales were as hard as steel.,1
The world had vanished like a phantasmagoria.,1
The world is bitter like a tear.,1
The world is in a simmer like a sea.,1
The world wavers within its circle like a dream.,1
The years stretched before her like some vast blank page.,1
The years vanished like a May snowdrift.,1
The yellow apples glowed like fire.,1
Smoke billowed from the dragon's nostrils like a raging wildfire.,1
The dragon's wings unfurled like a great black cloud.,1
The dragon's roar shaked like thunder.,1
Music was as frightful as the serpent's hiss.,1
The dragon's eyes gleamed like embers.,1
The twig was as thin as a strand of hair.,1
The twig was as fragile as a piece of glass.,1
The twig was as light as a feather.,1
The twig was as bendy as a rubber band.,1
The twig was as crooked as a question mark.,1
Her stomach rumbled like a thunderstorm.,1
His empty stomach growled like a wild animal.,1
The island was as serene as a sleeping baby.,1
She soars like a seraph.,1
She stood straight like a lily on its stem.,1
The rocky shores of the island were as jagged as a saw blade.,1
The gate was as tall as a redwood tree.,1
The rusty gate screeched open like a banshee.,1
The gate was as wide as an ocean.,1
The gate creaked open like an old man's bones.,1
They are as cruel as creeping tigers.,1
The juicy steak was as tender as a mother's love.,1
The meatball was as round as a full moon in the night sky.,1
The marbled beef was as rich as a chocolate.,1
The smoked brisket was as flavorful as a symphony orchestra.,1
They dropped like panthers.,1
They fly like spray.,1
The winds of the hurricane howled like a pack of wolves.,1
They had slipped away like visions.,1
The orphanage was as quiet as a graveyard.,1
The cockroach skittered across the floor like a tiny race car.,1
The cockroach scurried away like a thief in the night.,1
The cockroach's antennae waved like delicate flowers in the breeze.,1
The starfish's limbs curled up like the petals of a flower at night.,1
The starfish's movements were as graceful as a ballerina's dance.,1
The starfish's arms were as flexible as rubber bands.,1
The colors of a starfish are as vibrant as a painter's palette.,1
They vanished like the dream.,1
The sound of the trumpet was as piercing as a needle.,1
The chalk was as white as freshly fallen snow.,1
"Her voice was like nails on a chalkboard, grating and unpleasant.",1
"The chalk was as brittle as a dry twig, breaking easily in my hand.",1
The chalk marks on the blackboard were as bold as a sharpie marker.,1
Her waist was as slender as a willow branch.,1
The corset cinched her waist like a python squeezing its prey.,1
His waist was as narrow as a tightrope walker's balancing pole.,1
The fabric of her dress hugged her waist like a second skin.,1
The dancer's waist was as supple as a serpent's.,1
The coast was as smooth as glass.,1
The waves sounded like a symphony of percussion instruments.,1
The sand was as hot as a griddle.,1
The sea stretched like a carpet.,1
The harp music was as soothing as a warm bath after a long day.,1
His harp playing was as graceful as a ballerina's dance.,1
The melody floated like a breeze on a summer day.,1
The glue was as sticky as honey on a warm day.,1
The bond between the two pieces was as strong as the glue holding them together.,1
Rice is as white as snow on a sunny day.,1
The grains of rice are as small as a pinhead.,1
A bowl of rice is as comforting as a warm hug from a loved one.,1
Rice is as versatile as a chameleon.,1
The aroma of cooked rice is as soothing as a breeze on a summer evening.,1
The refrigerator was as cold as a winter's day.,1
The refrigerator hummed like a contented cat.,1
The inside of the refrigerator was as bright as a freshly cleaned window.,1
The shelves of the refrigerator were as organized as a library's bookshelves.,1
Your heart is as light as a leaf of a tree.,1
The crow's wings were as black as coal.,1
The crow's caw was as harsh as a rusty gate.,1
The crow's eyes were as sharp as a hawk's eyes.,1
The crow's beak was as sharp as a dagger.,1
The crow's feathers were as sleek as oil.,1
The bench was as hard as a rock.,1
The bench was sturdy like a fortress.,1
The bench was as smooth as polished glass.,1
The bench was old like a faithful friend.,1
The bench was as cold as ice.,1
The spoon is as curved as a crescent moon.,1
The spoon's handle is as smooth as a river rock.,1
The spoon's bowl is as deep as a well.,1
The spoon's edge is as sharp as a knife.,1
The spoon's surface is as reflective as a mirror.,1
Her engagement ring sparkled like a star in the night sky.,1
The ring was as shiny as a freshly polished mirror.,1
The diamond on her finger was as clear as a drop of dew on a leaf.,1
The wedding band fit his finger like a glove.,1
The gold band gleamed in the light like the sun on a summer day.,1
The hat was as round as a basketball.,1
Her hat sat on her head like a crown.,1
The brim of his hat curled upwards like a smile.,1
